Name,Year,min_players,max_players,min_playtime,max_playtime,min_age,category,mechanic,userrated,avg_rate,rank,owned,trading,wanting,wishing,num_comments,num_weights,avg_weight
Sword & Sorcery,2017,1,5,60,90,12,"['Adventure', 'Fantasy', 'Fighting', 'Miniatures', 'Wargame']","['Action Points', 'Area Movement', 'Cooperative Game', 'Dice Rolling', 'Modular Board', 'Role Playing', 'Solo / Solitaire Game', 'Variable Player Powers']",4786,7.91706,419,10027,211,402,3755,1144,253,4.1067
Tzolk'in: The Mayan Calendar,2012,2,4,90,90,13,"['Ancient', 'Civilization', 'Economic', 'Farming', 'Mythology']","['Bias', 'End Game Bonuses', 'Turn Order: Claim Action', 'Worker Placement']",37738,7.86816,57,44292,383,1410,8952,5482,1901,3.6712
Eclipse: Second Dawn for the Galaxy,2020,2,6,60,200,14,"['Civilization', 'Science Fiction', 'Space Exploration', 'Wargame']","['Alliances', 'Area-Impulse', 'Dice Rolling', 'Grid Movement', 'Hexagon Grid', 'Income', 'Modular Board', 'Passed Action Token', 'Tech Trees / Tech Tracks', 'Variable Player Powers']",11490,8.49053,20,15948,75,909,7098,1677,396,3.649
Gùgōng,2018,1,5,60,90,12,"['Medieval', 'Travel']","['Area Majority / Influence', 'Hand Management', 'Set Collection', 'Worker Placement']",8492,7.45869,381,11885,278,386,2402,1581,369,3.0813
Web of Power,2000,3,5,50,60,12,"['Medieval', 'Territory Building']","['Area Majority / Influence', 'Hand Management', 'Network and Route Building', 'Open Drafting']",3507,7.3,972,3421,103,197,583,1136,353,2.4448
Destinies,2021,1,3,90,150,14,"['Adventure', 'Exploration', 'Fantasy', 'Fighting', 'Medieval', 'Miniatures']","['Dice Rolling', 'Map Addition', 'Role Playing', 'Solo / Solitaire Game', 'Storytelling', 'Tile Placement']",7275,7.77423,332,13840,291,265,2985,1404,203,1.8966
Weather Machine,2022,2,4,60,150,14,['Science Fiction'],"['Action Points', 'Set Collection', 'Tile Placement', 'Worker Placement']",2534,7.87424,717,6465,58,344,3043,653,388,4.5696
Time's Up! Edición Amarilla,2008,4,12,30,30,0,"['Humor', 'Party Game']","['Acting', 'Communication Limits', 'Memory', 'Team-Based Game']",1392,7.51553,1546,2919,16,6,134,156,45,1.0889
Messina 1347,2021,1,4,60,140,14,"['Economic', 'Medical', 'Medieval']","['Grid Movement', 'Income', 'Modular Board', 'Solo / Solitaire Game', 'Track Movement', 'Variable Player Powers', 'Variable Set-up', 'Worker Placement']",2675,7.63492,799,4903,110,232,1442,429,146,3.5822
Spicy,2020,2,6,15,20,10,"['Animals', 'Bluffing', 'Card Game']","['Betting and Bluffing', 'Hand Management']",3961,7.17038,1054,7655,64,118,1147,577,154,1.3831
Winner's Circle,2001,2,6,45,60,10,"['Animals', 'Racing', 'Sports']","['Betting and Bluffing', 'Roll / Spin and Move']",5521,6.98632,1025,5488,141,469,1203,1841,513,1.6082
Niagara,2004,3,5,30,45,8,['Nautical'],"['Bias', 'Hand Management', 'Pick-up and Deliver', 'Set Collection', 'Simultaneous Action Selection', 'Slide/Push']",8603,6.4604,1774,10591,377,232,928,2261,785,1.8369
Arkham Horror,2005,1,8,120,240,14,"['Adventure', 'Fighting', 'Horror', 'Novel-based']","['Cooperative Game', 'Dice Rolling', 'Events', 'Finale Ending', 'Hand Management', 'Lose a Turn', 'Point to Point Movement', 'Role Playing', 'Solo / Solitaire Game', 'Stat Check Resolution', 'Variable Player Powers']",38945,7.24036,411,52348,1608,432,4935,8871,3852,3.5823
Gentes,2017,1,4,90,90,12,"['Ancient', 'Civilization']","['Action Drafting', 'Action Points', 'Open Drafting', 'Set Collection', 'Turn Order: Claim Action']",3368,7.41323,825,5059,163,127,873,686,134,3.1716
Empire Builder,1982,2,6,180,180,12,"['Economic', 'Trains', 'Transportation']","['Connections', 'Crayon Rail System', 'Hexagon Grid', 'Movement Points', 'Network and Route Building', 'Pick-up and Deliver']",2988,6.95373,1575,4417,189,97,364,1047,295,2.6305
Planet Steam,2008,2,5,90,180,14,"['Economic', 'Industry / Manufacturing', 'Science Fiction']","['Auction/Bidding', 'Commodity Speculation', 'Market', 'Trading']",2868,7.10269,1321,5464,354,154,749,859,230,3.7565
Medieval Academy,2014,2,5,30,30,8,"['Card Game', 'Medieval']","['Area Majority / Influence', 'Closed Drafting', 'Hand Management', 'Modular Board', 'Simultaneous Action Selection', 'Variable Set-up']",3947,6.94124,1244,5650,236,135,821,796,127,1.811
Chakra,2019,2,4,30,30,8,['Abstract Strategy'],"['Action Retrieval', 'Set Collection']",2336,6.90111,1884,3321,19,42,434,371,43,1.7209
Troyes,2010,1,4,90,90,12,"['Dice', 'Economic', 'Medieval']","['Area Majority / Influence', 'Dice Rolling', 'End Game Bonuses', 'Events', 'Hidden Victory Points', 'Income', 'Ownership', 'Set Collection', 'Solo / Solitaire Game', 'Turn Order: Progressive', 'Variable Set-up', 'Worker Placement with Dice Workers', 'Worker Placement, Different Worker Types']",22680,7.72125,105,25973,327,1121,5678,4212,1241,3.4609
Perseverance: Castaway Chronicles – Episodes 1 & 2,2022,1,4,80,180,14,"['City Building', 'Dice', 'Exploration', 'Science Fiction']","['Area Majority / Influence', 'Dice Rolling', 'Scenario / Mission / Campaign Game', 'Tile Placement', 'Worker Placement', 'Worker Placement with Dice Workers']",1426,7.79809,1358,3701,96,138,1207,440,104,4.2692
Zombicide Season 3: Rue Morgue,2015,1,12,60,60,14,"['Horror', 'Miniatures', 'Zombies']","['Action Points', 'Cooperative Game', 'Dice Rolling', 'Hand Management', 'Modular Board', 'Team-Based Game', 'Variable Player Powers']",2726,7.51835,1055,7471,131,102,596,423,79,2.481
Doom: The Boardgame,2004,2,4,180,180,12,"['Exploration', 'Fighting', 'Horror', 'Miniatures', 'Science Fiction', 'Video Game Theme']","['Dice Rolling', 'Modular Board', 'Square Grid', 'Team-Based Game', 'Variable Player Powers']",5198,6.85354,1395,7091,336,174,817,1732,614,2.9104
Ethnos,2017,2,6,45,60,14,['Fantasy'],"['Area Majority / Influence', 'Hand Management', 'Open Drafting', 'Push Your Luck', 'Set Collection']",12929,7.46633,282,15470,272,604,3394,2251,255,2.0235
Super Motherload,2015,2,4,60,75,13,"['Science Fiction', 'Video Game Theme']","['Deck, Bag, and Pool Building', 'Delayed Purchase', 'Hand Management', 'Set Collection', 'Tile Placement', 'Variable Player Powers']",3916,7.34996,794,5169,130,324,1579,735,130,2.2769
Civilization: A New Dawn,2017,2,4,60,120,14,['Civilization'],"['Area Majority / Influence', 'Increase Value of Unchosen Resources', 'Modular Board', 'Race', 'Variable Player Powers']",6422,7.2654,684,11554,264,241,2217,1178,234,3.1624
Cosmic Frog,2020,2,6,45,90,13,"['Animals', 'Dice', 'Fantasy', 'Fighting', 'Miniatures']","['Dice Rolling', 'Hexagon Grid', 'Layering', 'Map Reduction', 'Pattern Building', 'Pick-up and Deliver', 'Set Collection', 'Slide/Push', 'Sudden Death Ending', 'Take That', 'Tile Placement', 'Turn Order: Random', 'Variable Player Powers', 'Variable Set-up']",1358,7.3639,1814,2818,54,320,1580,361,49,3.0204
Noctiluca,2019,1,4,30,30,8,"['Abstract Strategy', 'Dice', 'Puzzle']","['Contracts', 'End Game Bonuses', 'Hexagon Grid', 'Hidden Victory Points', 'Open Drafting', 'Set Collection']",1835,7.12162,1740,3455,55,124,949,404,53,1.3208
Spyfall,2014,3,8,15,15,13,"['Bluffing', 'Deduction', 'Humor', 'Party Game', 'Spies/Secret Agents']","['Acting', 'Communication Limits', 'Memory', 'Role Playing', 'Roles with Asymmetric Information', 'Targeted Clues', 'Traitor Game', 'Voting']",20760,6.79282,891,28608,940,269,2861,3374,497,1.2354
Tabannusi: Builders of Ur,2021,1,4,120,120,14,"['Ancient', 'City Building']","['Action Queue', 'Area Majority / Influence', 'Contracts', 'Dice Rolling', 'End Game Bonuses', 'Open Drafting', 'Ownership', 'Tile Placement']",1426,7.40531,1694,3311,92,121,847,301,96,3.8646
Bloodborne: The Card Game,2016,3,5,30,45,14,"['Card Game', 'Fantasy', 'Horror', 'Video Game Theme']","['Dice Rolling', 'Hand Management', 'Open Drafting', 'Push Your Luck', 'Set Collection', 'Simultaneous Action Selection', 'Variable Player Powers']",3683,6.87827,1606,6701,202,71,772,692,76,2.0658
Pandemic Legacy: Season 1,2015,2,4,60,60,13,"['Environmental', 'Medical']","['Action Points', 'Cooperative Game', 'Hand Management', 'Legacy Game', 'Point to Point Movement', 'Scenario / Mission / Campaign Game', 'Set Collection', 'Tags', 'Trading', 'Variable Player Powers']",51353,8.53451,2,79393,454,815,13093,7651,1399,2.8335
The Others,2016,2,5,90,90,14,"['Fantasy', 'Fighting', 'Horror', 'Miniatures']","['Area Majority / Influence', 'Area Movement', 'Dice Rolling', 'Interrupts', 'Modular Board', 'Team-Based Game', 'Variable Player Powers']",3945,7.32608,950,8348,218,194,1827,935,113,3.0265
Wingspan,2019,1,5,40,70,10,"['Animals', 'Card Game', 'Educational']","['Contracts', 'Dice Rolling', 'End Game Bonuses', 'Hand Management', 'Once-Per-Game Abilities', 'Open Drafting', 'Set Collection', 'Solo / Solitaire Game', 'Turn Order: Progressive']",83090,8.06853,25,128012,545,1402,17298,11138,2765,2.4542
Viticulture Essential Edition,2015,1,6,45,90,13,"['Economic', 'Farming']","['Contracts', 'Hand Management', 'Solo / Solitaire Game', 'Turn Order: Auction', 'Victory Points as a Resource', 'Worker Placement', 'Worker Placement, Different Worker Types']",45367,8.0044,34,63158,367,1471,11803,6019,1329,2.8901
China,2005,3,5,45,45,12,"['Ancient', 'Territory Building']","['Area Majority / Influence', 'End Game Bonuses', 'Hand Management', 'Network and Route Building', 'Open Drafting']",4480,6.98049,1127,4516,273,145,567,1623,488,2.2848
Breakout: Normandy,1992,2,2,240,240,12,"['Wargame', 'World War II']","['Advantage Token', 'Area Movement', 'Area-Impulse', 'Dice Rolling', 'Simulation']",1051,7.68917,1855,2354,67,139,410,558,161,3.3913
Evergreen,2022,1,4,45,45,8,['Puzzle'],"['Bias', 'End Game Bonuses', 'Open Drafting']",1758,7.51131,1319,2802,24,250,1937,318,49,2.102
Kanban: Driver's Edition,2014,2,4,90,120,12,"['Economic', 'Industry / Manufacturing']","['Action Points', 'Commodity Speculation', 'Variable Phase Order', 'Worker Placement']",6703,7.79443,239,8758,258,447,1956,1319,545,4.367
Mille Fiori,2021,2,4,60,90,10,"['Card Game', 'Industry / Manufacturing']","['Area Majority / Influence', 'Closed Drafting', 'Pattern Building']",2659,7.43875,991,4786,56,282,1312,442,79,2.1646
Airlines Europe,2011,2,5,75,75,10,"['Aviation / Flight', 'Economic']","['Investment', 'Network and Route Building', 'Open Drafting', 'Set Collection', 'Stock Holding']",7326,7.29733,547,8123,219,517,2047,1816,429,2.4359
Gaslands: Post-Apocalyptic Vehicular Combat,2017,2,8,45,90,11,"['Book', 'Miniatures', 'Racing', 'Science Fiction', 'Wargame']","['Dice Rolling', 'Movement Template']",807,8.07029,1985,1968,48,40,297,219,19,2.5263
Viscounts of the West Kingdom,2020,1,4,60,90,12,['Medieval'],"['Area Majority / Influence', 'Deck, Bag, and Pool Building', 'End Game Bonuses', 'Hand Management', 'King of the Hill', 'Modular Board', 'Rondel', 'Set Collection', 'Solo / Solitaire Game', 'Variable Player Powers']",8767,7.87062,155,17490,138,420,3089,1334,377,3.4615
Battle for Rokugan,2017,2,5,60,90,14,"['Fantasy', 'Medieval', 'Wargame']","['Area Majority / Influence', 'Hand Management', 'Order Counters', 'Secret Unit Deployment', 'Variable Player Powers']",3453,7.4181,882,5428,127,245,1545,672,113,2.7611
Through the Desert,1998,2,5,45,45,10,"['Abstract Strategy', 'Animals', 'Arabian']","['Chaining', 'Connections', 'Enclosure', 'Hexagon Grid', 'Hidden Victory Points', 'Network and Route Building']",13717,7.09126,589,15090,451,619,2654,4158,1408,2.2024
Karak,2017,2,5,45,45,7,"['Adventure', ""Children's Game"", 'Exploration', 'Fantasy']","['Dice Rolling', 'Map Addition', 'Modular Board', 'Tile Placement']",2389,7.23162,1538,5296,39,83,909,480,97,1.3402
Fleet: The Dice Game,2018,1,4,30,45,8,"['Dice', 'Nautical']","['Dice Rolling', 'Paper-and-Pencil', 'Solo / Solitaire Game']",3666,7.67326,546,6303,77,369,1935,704,85,2.5059
Qwixx,2012,2,5,15,15,8,"['Dice', 'Math', 'Number']","['Bingo', 'Dice Rolling', 'Paper-and-Pencil']",12710,6.86403,906,24591,237,73,788,2213,454,1.1145
Ascension: Realms Unraveled,2014,1,4,30,30,13,"['Card Game', 'Fantasy']","['Deck, Bag, and Pool Building', 'Hand Management', 'Open Drafting']",1141,7.51562,1925,2155,57,41,232,259,30,2.1667
UBOOT: The Board Game,2019,1,4,30,120,12,"['Miniatures', 'Nautical', 'Real-time', 'Wargame', 'World War II']","['Action Points', 'Cooperative Game', 'Simulation', 'Solo / Solitaire Game', 'Variable Player Powers', 'Worker Placement']",1997,7.62081,1325,5346,122,209,1749,615,142,4.1338
A Study in Emerald (Second Edition),2015,2,5,60,60,13,"['Horror', 'Murder/Mystery', 'Novel-based', 'Political', 'Spies/Secret Agents', 'Zombies']","['Area Majority / Influence', 'Auction/Bidding', 'Deck, Bag, and Pool Building', 'Hand Management', 'Hidden Roles', 'Open Drafting', 'Point to Point Movement', 'Team-Based Game']",2639,6.89232,1682,4514,146,270,1056,599,128,2.9453
Tidal Blades: Heroes of the Reef,2020,1,4,60,90,14,['Fantasy'],"['Deck, Bag, and Pool Building', 'Dice Rolling', 'Hand Management', 'Kill Steal', 'Open Drafting', 'Re-rolling and Locking', 'Set Collection', 'Solo / Solitaire Game', 'Turn Order: Claim Action', 'Variable Player Powers', 'Worker Placement']",2672,7.55691,955,5966,148,207,1900,676,74,2.8919
Reavers of Midgard,2019,2,4,60,120,14,[],"['Dice Rolling', 'Follow', 'Open Drafting', 'Set Collection', 'Worker Placement']",2785,7.39099,1029,6177,189,136,1001,628,93,2.9355
Thunder Alley,2014,2,7,90,90,10,"['Racing', 'Sports']","['Hand Management', 'Race']",3515,7.30846,949,4441,159,273,949,882,205,2.3902
The Werewolves of Miller's Hollow,2001,8,18,30,30,10,"['Bluffing', 'Deduction', 'Horror', 'Murder/Mystery', 'Party Game']","['Hidden Roles', 'Player Elimination', 'Role Playing', 'Team-Based Game', 'Variable Player Powers', 'Voting']",11394,6.6944,1294,19978,372,44,640,2109,659,1.3126
Xiangqi,762,2,2,60,60,8,['Abstract Strategy'],['Grid Movement'],2075,7.11553,1802,3164,67,47,333,645,198,3.5808
Tides of Time,2015,2,2,15,20,8,"['Ancient', 'Card Game', 'Civilization']","['Closed Drafting', 'Set Collection']",7385,6.60217,1477,11514,557,89,892,1445,217,1.5622
Wildcatters,2013,2,4,120,120,12,"['Economic', 'Industry / Manufacturing', 'Transportation']","['Area Majority / Influence', 'Auction/Bidding', 'Network and Route Building', 'Pick-up and Deliver', 'Stock Holding']",1377,7.60411,1470,2153,72,166,729,375,80,3.9375
Unmatched Game System,2019,2,4,20,40,9,"['Card Game', 'Fantasy', 'Fighting']","['Action Points', 'Area Movement', 'Card Play Conflict Resolution', 'Hand Management', 'Line of Sight', 'Point to Point Movement', 'Team-Based Game', 'Variable Player Powers']",1507,8.28031,931,1551,6,29,295,199,45,1.9778
Claustrophobia,2009,2,2,45,45,14,"['Adventure', 'Exploration', 'Fantasy', 'Fighting', 'Horror', 'Miniatures']","['Dice Rolling', 'Grid Movement', 'Line of Sight', 'Modular Board', 'Scenario / Mission / Campaign Game', 'Variable Player Powers']",6988,7.47711,435,9458,377,476,3099,1782,454,2.4824
Between Two Cities,2015,1,7,25,25,14,"['City Building', 'Negotiation']","['Closed Drafting', 'Highest-Lowest Scoring', 'Neighbor Scope', 'Set Collection', 'Simultaneous Action Selection', 'Solo / Solitaire Game', 'Tile Placement']",10912,6.99027,750,13585,442,302,2436,2218,360,1.8139
Skyjo,2015,2,8,15,45,8,"['Card Game', 'Math']",['Set Collection'],3038,6.74717,1940,6802,39,24,285,378,83,1.0723
Black Fleet,2014,3,4,60,60,14,"['Nautical', 'Pirates', 'Transportation']","['Area Movement', 'Grid Movement', 'Hand Management', 'Pick-up and Deliver', 'Take That', 'Variable Player Powers']",5464,6.99978,1023,8288,212,304,1542,1254,217,1.9447
Welcome to the Moon,2021,1,6,25,30,10,"['City Building', 'Science Fiction']","['Bingo', 'Narrative Choice / Paragraph', 'Paper-and-Pencil', 'Pattern Building', 'Race', 'Scenario / Mission / Campaign Game', 'Simultaneous Action Selection', 'Solo / Solitaire Game']",5026,8.03236,218,12776,74,339,2871,685,107,2.5047
Napoleon's Triumph,2007,2,8,180,180,12,"['Napoleonic', 'Wargame']","['Area Movement', 'Secret Unit Deployment', 'Simulation']",1813,7.99313,887,2945,47,410,1450,801,267,3.6517
Last Aurora,2020,1,4,60,90,14,"['Card Game', 'Science Fiction', 'Transportation']","['Hand Management', 'Race', 'Worker Placement']",1462,7.34021,1870,3044,54,105,804,324,59,2.7288
Goa: A New Expedition,2004,2,4,90,90,12,"['Economic', 'Farming', 'Nautical', 'Renaissance']","['Auction/Bidding', 'Auction: Once Around', 'Hand Management', 'Push Your Luck', 'Tech Trees / Tech Tracks']",11395,7.56376,243,11337,266,818,2799,3122,1144,3.3724
Vikings,2007,2,4,60,60,10,"['Economic', 'Medieval', 'Nautical', 'Territory Building']","['Auction/Bidding', 'Rondel', 'Tile Placement', 'Victory Points as a Resource']",8389,7.2455,558,8120,166,516,1747,1976,702,2.5427
Exit: The Game – The Pharaoh's Tomb,2016,1,6,45,90,12,"['Ancient', 'Deduction', 'Puzzle', 'Real-time']",['Cooperative Game'],6411,7.17259,694,11588,175,88,608,1078,79,2.7595
Diamonds,2014,2,6,20,30,8,['Card Game'],"['Hand Management', 'Trick-taking']",5388,6.89761,1137,7983,266,174,833,1219,174,1.546
Unlock!: Game Adventures,2021,1,5,30,60,10,"['Deduction', 'Puzzle', 'Real-time']","['Cooperative Game', 'Deduction', 'Scenario / Mission / Campaign Game', 'Storytelling']",772,8.01328,1894,2374,52,138,520,142,10,2.4
Mega Civilization,2015,5,18,360,720,12,"['Ancient', 'Civilization', 'Economic', 'Negotiation', 'Political']","['Area Movement', 'Hot Potato', 'Set Collection', 'Trading']",1057,8.20647,1405,1339,25,156,730,318,83,3.6867
Batman: Gotham City Chronicles,2019,2,4,60,90,14,"['Adventure', 'Comic Book / Strip', 'Fighting', 'Miniatures']","['Action Points', 'Action Queue', 'Area Movement', 'Dice Rolling', 'Line of Sight', 'Scenario / Mission / Campaign Game', 'Team-Based Game', 'Variable Phase Order', 'Variable Player Powers']",2533,7.6344,1131,6172,171,156,1091,694,117,3.7436
Vegas Showdown,2005,3,5,75,75,12,['Economic'],"['Auction/Bidding', 'Auction: Dutch', 'Auction: Fixed Placement', 'Network and Route Building', 'Tile Placement']",6316,7.15638,744,7629,383,186,818,2091,647,2.3555
5-Minute Marvel,2018,2,5,5,5,8,"['Card Game', 'Comic Book / Strip', 'Fighting', 'Real-time']","['Cooperative Game', 'Hand Management', 'Real-Time', 'Variable Player Powers']",2816,6.79463,1834,6518,182,64,557,553,63,1.1429
Quadropolis,2016,2,4,30,60,8,"['City Building', 'Environmental']","['Hand Management', 'Pattern Building', 'Set Collection', 'Tile Placement', 'Worker Placement', 'Worker Placement, Different Worker Types']",12733,7.23664,460,17748,490,431,2816,2005,260,2.2038
Trails,2021,2,4,20,40,10,"['Adventure', 'Animals', 'Environmental', 'Travel']","['Contracts', 'End Game Bonuses', 'Modular Board', 'Set Collection', 'Track Movement', 'Worker Placement']",2759,7.09202,1416,8715,151,90,1058,487,64,1.7969
The Pillars of the Earth,2006,2,4,90,120,12,"['Economic', 'Medieval', 'Novel-based', 'Religious']","['Events', 'Market', 'Turn Order: Random', 'Worker Placement', 'Worker Placement, Different Worker Types']",17634,7.26879,383,22197,567,669,3528,3766,1411,2.815
Star Wars: Rebellion,2016,2,4,180,240,14,"['Civil War', 'Miniatures', 'Movies / TV / Radio theme', 'Science Fiction', 'Space Exploration', 'Wargame']","['Area Majority / Influence', 'Area Movement', 'Area-Impulse', 'Card Play Conflict Resolution', 'Contracts', 'Delayed Purchase', 'Dice Rolling', 'Die Icon Resolution', 'Events', 'Hand Management', 'Hidden Movement', 'Income', 'Once-Per-Game Abilities', 'Tags', 'Take That', 'Team-Based Game', 'Variable Player Powers', 'Variable Set-up', 'Worker Placement, Different Worker Types']",30588,8.41736,10,47559,348,1454,12906,4646,1059,3.7394
Planet Unknown,2022,1,6,60,80,10,"['City Building', 'Industry / Manufacturing', 'Puzzle', 'Science Fiction', 'Space Exploration', 'Territory Building']","['Network and Route Building', 'Open Drafting', 'Pattern Building', 'Simultaneous Action Selection', 'Tech Trees / Tech Tracks', 'Tile Placement', 'Variable Player Powers']",5083,7.96898,237,7888,35,764,4690,978,151,2.2119
"Napoléon: The Waterloo Campaign, 1815",1974,2,3,120,120,12,"['Napoleonic', 'Wargame']","['Dice Rolling', 'Minimap Resolution', 'Point to Point Movement', 'Secret Unit Deployment', 'Simulation']",1346,7.3515,1852,2793,141,117,456,765,181,2.4751
The Quest for El Dorado,2017,2,4,30,60,10,"['Adventure', 'Exploration', 'Racing']","['Deck, Bag, and Pool Building', 'Delayed Purchase', 'Grid Movement', 'Hand Management', 'Hexagon Grid', 'Modular Board', 'Multi-Use Cards', 'Open Drafting', 'Race', 'Variable Set-up']",22490,7.66345,125,35612,345,1015,6849,3452,560,1.9268
Shogun,2006,3,5,90,120,12,"['Economic', 'Medieval', 'Territory Building']","['Action Queue', 'Area Majority / Influence', 'Area Movement', 'Auction/Bidding', 'Cube Tower', 'Simultaneous Action Selection', 'Variable Phase Order']",13766,7.52084,256,13698,351,658,3724,2802,1239,3.364
The Palaces of Carrara,2012,2,4,60,60,10,"['City Building', 'Economic', 'Renaissance']","['Set Collection', 'Tile Placement']",4665,7.14356,902,4639,146,383,1146,1071,242,2.6116
Cleopatra and the Society of Architects,2006,3,5,60,60,10,['Ancient'],"['Auction/Bidding', 'Dice Rolling', 'Enclosure', 'Grid Coverage', 'Hand Management', 'Open Drafting', 'Set Collection']",6522,6.80022,1218,8078,328,281,1129,1984,645,2.2822
Manila,2005,3,5,60,60,10,"['Nautical', 'Pirates', 'Transportation']","['Auction/Bidding', 'Auction: Turn Order Until Pass', 'Betting and Bluffing', 'Commodity Speculation', 'Dice Rolling', 'Loans', 'Worker Placement']",5996,6.98892,1003,6333,118,348,1105,1502,563,2.032
Shadow Hunters,2005,4,8,60,60,10,"['Adventure', 'Bluffing', 'Card Game', 'Deduction', 'Horror', 'Party Game']","['Dice Rolling', 'Hidden Roles', 'Player Elimination', 'Team-Based Game', 'Variable Player Powers']",8682,6.82259,1130,9399,178,312,1685,1949,493,1.8215
Crusaders: Thy Will Be Done,2018,2,4,40,60,14,['Medieval'],"['Grid Movement', 'Hexagon Grid', 'Mancala', 'Rondel', 'Variable Player Powers']",4193,7.48986,616,5798,122,275,1230,885,129,2.4496
Paper Tales,2017,2,5,30,30,12,"['Card Game', 'Fantasy']","['Closed Drafting', 'End Game Bonuses', 'Hand Management', 'Secret Unit Deployment', 'Simultaneous Action Selection']",4798,7.02873,1057,7145,190,253,1712,859,103,2.165
Fauna,2008,2,6,45,60,8,"['Animals', 'Educational', 'Trivia']",['Betting and Bluffing'],4517,7.03626,1071,5417,88,178,909,866,232,1.4741
La Cosa Nostra,2014,3,5,90,90,16,"['Bluffing', 'Card Game', 'Mafia', 'Negotiation']","['Dice Rolling', 'Hand Management', 'Take That', 'Team-Based Game']",1587,7.61373,1404,3106,65,42,427,331,64,2.625
Endeavor: Age of Sail,2018,2,5,60,90,13,"['Exploration', 'Nautical', 'Renaissance']","['Area Majority / Influence', 'Open Drafting', 'Point to Point Movement', 'Set Collection', 'Tech Trees / Tech Tracks']",8888,7.90824,143,11725,185,460,2751,1993,248,2.8468
Moonrakers,2020,1,5,60,120,14,"['Card Game', 'Science Fiction']","['Action Points', 'Deck, Bag, and Pool Building', 'Dice Rolling', 'Hand Management', 'Negotiation', 'Trading']",2354,7.77429,989,4131,34,336,2401,569,55,2.4182
König von Siam,2007,2,4,30,60,12,"['Political', 'Post-Napoleonic']","['Area Majority / Influence', 'Communication Limits', 'Hand Management', 'Map Reduction', 'Sudden Death Ending', 'Team-Based Game', 'Turn Order: Pass Order', 'Variable Set-up']",2260,6.90127,1772,1734,48,139,477,816,263,2.6806
Walnut Grove,2011,1,4,30,60,10,"['American West', 'Farming']","['Rondel', 'Tile Placement', 'Worker Placement']",2289,6.97526,1639,2249,77,333,991,641,159,2.4654
PitchCar Mini,2003,2,8,30,30,6,"['Action / Dexterity', 'Racing']","['Flicking', 'Race']",2282,6.97183,1646,2771,56,228,491,608,153,1.1438
Lands of Galzyr,2022,1,4,60,150,14,"['Adventure', 'Animals', 'Dice', 'Fantasy', 'Renaissance']","['Cooperative Game', 'Dice Rolling', 'Events', 'Movement Points', 'Narrative Choice / Paragraph', 'Negotiation', 'Once-Per-Game Abilities', 'Push Your Luck', 'Solo / Solitaire Game', 'Storytelling', 'Trading', 'Variable Player Powers']",1145,8.24912,1337,2898,33,451,3122,360,50,1.56
Here I Stand: 500th Anniversary Edition,2017,2,6,180,360,14,"['Negotiation', 'Pike and Shot', 'Political', 'Religious', 'Renaissance', 'Wargame']","['Campaign / Battle Card Driven', 'Dice Rolling', 'Hand Management', 'Point to Point Movement', 'Simulation', 'Variable Player Powers']",986,8.56708,1214,2367,23,166,737,255,58,4.5345
Roam,2019,2,4,30,45,8,"['Card Game', 'Fantasy']","['Action Retrieval', 'Area Majority / Influence', 'Auction Compensation', 'Grid Coverage', 'Square Grid']",3563,7.31795,915,6804,83,182,1314,672,79,1.8228
Aeon's End: Outcasts,2020,1,4,60,60,14,"['Card Game', 'Fantasy', 'Science Fiction']","['Cooperative Game', 'Deck, Bag, and Pool Building', 'Hand Management', 'Open Drafting', 'Variable Phase Order', 'Variable Player Powers']",959,8.57089,1228,3345,33,95,471,243,17,3
The King's Dilemma,2019,3,5,45,60,14,"['Fantasy', 'Negotiation', 'Political']","['Bias', 'Bribery', 'End Game Bonuses', 'Legacy Game', 'Storytelling', 'Voting']",5266,7.80226,318,10479,109,537,5244,1055,140,2.2357
Forbidden Desert,2013,2,5,45,45,10,"['Adventure', 'Fantasy', 'Science Fiction']","['Action Points', 'Bias', 'Cooperative Game', 'Grid Movement', 'Hand Management', 'Map Reduction', 'Modular Board', 'Pick-up and Deliver', 'Set Collection', 'Solo / Solitaire Game', 'Square Grid', 'Variable Player Powers']",30049,7.08861,488,52220,1071,467,5391,5005,920,2.0391
Tiny Towns,2019,1,6,45,60,14,"['Abstract Strategy', 'Animals', 'City Building', 'Puzzle']","['End Game Bonuses', 'Follow', 'Grid Coverage', 'Pattern Building', 'Player Elimination', 'Solo / Solitaire Game', 'Turn Order: Progressive', 'Variable Phase Order', 'Variable Player Powers', 'Variable Set-up']",17953,7.24485,406,29130,536,523,5106,2605,334,2.0659
Conflict of Heroes: Awakening the Bear! – Operation Barbarossa 1941 (Second Edition),2012,2,4,60,180,13,"['Wargame', 'World War II']","['Action Points', 'Dice Rolling', 'Hexagon Grid', 'Modular Board', 'Simulation']",1859,7.93985,947,3806,108,156,810,475,146,3.2534
Wild Space,2020,1,5,15,40,10,"['Animals', 'Card Game', 'Science Fiction', 'Space Exploration']","['End Game Bonuses', 'Hand Management', 'Set Collection', 'Solo / Solitaire Game', 'Variable Set-up']",2353,7.21897,1338,4652,91,93,877,382,74,2.0676
Chimera Station,2017,2,4,60,90,13,['Science Fiction'],"['Tile Placement', 'Turn Order: Claim Action', 'Variable Player Powers', 'Worker Placement', 'Worker Placement, Different Worker Types']",2799,7.238,1144,4510,139,152,760,602,86,3.1512
