Name,Year,min_players,max_players,min_playtime,max_playtime,min_age,category,mechanic,userrated,avg_rate,rank,owned,trading,wanting,wishing,num_comments,num_weights,avg_weight,Description
Vinci,1999,3,6,120,120,14,"['Ancient', 'Civilization', 'Territory Building']","['Area Majority / Influence', 'Area Movement', 'Increase Value of Unchosen Resources', 'Network and Route Building', 'Race', 'Static Capture', 'Take That', 'Variable Player Powers', 'Variable Set-up', 'Victory Points as a Resource']",4044,7.06841,1110,3833,216,144,543,1364,441,2.7823,along line histori world avalon hill game co player cycl seri european civil attempt score point use civil special power game set europ player provid pool wooden token repres civil player select combin civil tile give civil special abil characterist player enlarg empir territori expans often expens player key game lie choos allow activ civil go declin order select new one generat point play continu cycl civil certain score reach whereupon final round play victor determin reimplement small world releas march 2009
Oceanos,2016,2,5,30,45,8,"['Animals', 'Exploration', 'Nautical']","['Open Drafting', 'Set Collection', 'Simultaneous Action Selection']",3361,6.80356,1617,5778,261,107,894,707,71,1.831,oceano game underwat explor origin take carddraft player pilot submarin tri spot underwat speci largest coral reef send scubadiv forgotten treasur collect precious crystal upgrad ship escap fearsom kraken gaze submarin divid five part independ upgrad level 1 level 3 one control differ abil player howev differ abil one player anoth multipl way score point multipl take submarineupgrad order game offer sever way win whole game take mere 15 turn one simultan player make fair quick famili game even though submarin abil gamewis look differ special attent obvious given also depict marin life
Battle Line,2000,2,2,30,30,12,"['Ancient', 'Card Game']","['Card Play Conflict Resolution', 'Hand Management', 'Melding and Splaying']",17127,7.41354,278,20965,428,443,2826,4899,1209,1.8941,two oppon face across battl line attempt win battl take 5 9 flag 3 adjac flag flag decid place card 3 card pokertyp hand either side flag similar straight flush 3 kind straight flush etc side highest format card win flag rethem version schotten totten differ graphic wooden flag bit place boundari stone card game play ident except card run 1 10 9 hold seven card hand 6 rule stone may claim start turn present advanc variant also tactic card introduc battl line card ad later edit schottentotten report product qualiti card inferior schotten totten card howev reader battl line much easier find store second edit gmts battl line card qualiti higher
Yomi,2011,2,2,30,30,10,"['Bluffing', 'Card Game', 'Fantasy', 'Fighting', 'Print & Play', 'Video Game Theme']","['Hand Management', 'Rock-Paper-Scissors', 'Simultaneous Action Selection', 'Variable Player Powers']",2954,6.94244,1562,3069,160,155,819,839,195,2.359,yomi card game simul fight game test abil predict oppon act abil judg relat valu card one situat next also let fun combo panda 10 charact choos deck abil style deck also doubl regular deck play card beauti artwork complet game featur whop 120 differ charact illustr yomi japanes word “ read ” case read mind oppon yomi fight card game simpl competit card game simul fight two charact deck yomi repres one charact 10 deck first releas champion fight game tournament player tournament organ david sirlin design game test skill valuat yomi valuat refer abil judg relat valu move card chang cours game yomi game titl refer abil guess move oppon make guess though player uncanni abil “ guess ” right almost everi time matter game core mechan paperrockscissor guess game attack throw blockdodg sometim modifi special abil card attack throw usual let follow combo card hand block let draw card first seem random soon discov unequ uncertain payoff guess game allow realli read oppon yomi captur kind mind game occur high level fight game tournament reimplement yomi second edit
Factory Funner,2016,1,6,20,40,11,"['Industry / Manufacturing', 'Puzzle', 'Real-time']","['Hexagon Grid', 'Network and Route Building', 'Real-Time', 'Solo / Solitaire Game', 'Tile Placement']",1551,7.20141,1769,3354,73,158,782,454,31,2.3548,factori funner player factori manag select instal machin factori tri connect machin input output pipe right reservoir machin order build profit configur new machin bring revenu thing build reservoir connector pipelin cost 1k money game round player may select one machin number machin equal number player simultan mean player tri quick determin possibl connect grab tile want choos quick risk take machin doesnt fit well fit machin key tactic keep best option connect futur machin eight round player money win second edit game — factori funnerbigg — featur gameplay origin releas deeper box connector slight differ color better usabl without jump machin high luck factor creat rule difficulti play
Space Crusade,1990,2,4,120,120,10,"['Miniatures', 'Science Fiction']","['Chit-Pull System', 'Dice Rolling', 'Grid Movement', 'Modular Board', 'Scenario / Mission / Campaign Game', 'Simulation', 'Variable Player Powers']",3007,7.04157,1524,5203,88,175,442,734,236,2.2924,space crusad cooper effort milton bradley uk game workshop take roleplay element milton bradley heroquest merg game workshop dark vision futur manual one player must control alien player call alien player player control three command space marin player call marin player game mission mission detail mission manual game start alien player read one mission map mission manual show alien player setup game board dock board mission manual also tell alien player mani blip token take well reinforc token may use
Expedition to Newdale,2019,1,4,90,90,12,"['Economic', 'Industry / Manufacturing']","['Hand Management', 'Push Your Luck', 'Scenario / Mission / Campaign Game', 'Simultaneous Action Selection', 'Variable Set-up', 'Worker Placement']",1699,7.42032,1438,3838,112,196,1057,351,60,3.0,expedit newdal new oh good 2015 card game renown design alexand pfister board game adapt success card game 1 4 player 12 compet differ chapter experi world longsdal kingdom stori expedit newdal start five year event oh good escap canyon brook ’ need know prequel chapter game last 90 minut add around 12 hour excit campaign gameplay found favorit chapter play campaign alway come back play even fun begin game person board coal mine start build 5 hand card depend chapter play appropri game board sit middl tabl round divid 5 phase play order partial parallel becom familiar game phase 1 new event reveal usual alter cours play round slight e g introduc new build addit event card show fix amount worker avail round inform much appreci place action marker phase 2 latter number 1 — 4 import phase 4 mean need plan ahead first phase 3 phase worker drawn bag get ad other mean product would imposs worker miss easili done push luck might benefici phase 4 opposit phase 2 instead place worker resolv chosen action order number hope backup plan place desir worker drawn phase 3 trigger unpleas chain event enough worker could mean product happen mean might enough money build build second action marker oh third marker plan direct produc newli built build well build ’ place produc right clear plan ahead littl luck good altern way success phase 5 player either use free build action draw new hand card last phase use resolv build need worker e g automat coal product build offer convers certain good victori point afterward next round start play total seven final score end round seven show win lose
Skulls of Sedlec,2020,2,3,20,20,8,"['Card Game', 'Print & Play', 'Renaissance']","['Open Drafting', 'Pattern Building', 'Set Collection']",1971,7.43025,1267,5244,40,91,662,473,38,1.2895,sedlec ossuari 16th centuri ad black plagu hussit war overcrowd graveyard help bone collector halfblind monk exhum grave arrang skull insid crypt novic monk compet creat best arrang skull dig grave graveyard reveal card take card hand collect skull arrang card hand stack whoever better honor deceas ’ last wish score point bone collector judg player ’ complet stack declar one except —descript publish releas june 2020 board game month club 20 packag finalist top 3 button shys 18 card challeng design game real life locat
Scotland Yard,1983,2,6,45,45,10,"['Deduction', 'Travel']","['Hidden Movement', 'Point to Point Movement', 'Secret Unit Deployment', 'Team-Based Game']",16432,6.5059,1497,27852,951,106,1101,3745,981,1.9551,scotland yard one player take role mr x job move point point around map london take taxi buse subway detect – remain player act concert – move around similar effort move space mr x crimin mode transport near alway known exact locat known intermitt throughout game 125 fare ticket 5 black 23 pink underground 43 green bus 54 yellow taxi similar furi dracula clue great museum caper ghost chase letter whitechapel garibaldi escap
Grand Austria Hotel,2015,2,4,60,120,12,['Economic'],"['Action Drafting', 'Contracts', 'Dice Rolling', 'End Game Bonuses', 'Hand Management', 'Set Collection', 'Variable Set-up']",19149,7.92621,69,23838,156,1227,5865,3022,745,3.2174,thick viennes modern age exquisit café compet custom inspir artist import politician tourist world popul vienna need hotel room opportun turn littl café world famous hotel hire staff fulfil wish guest gain emperor favor café becom grand austria hotel start player roll dice sort roll number place correspond action space turn player choos one six action carri number avail dice correspond action space determin much player get action remov one dice carri addit action differ action player get necessari drink dish prepar room hire staff hotel grow without guest choos wise guest attract complet order bring import bonus action staff card also differ advantag game end seven round player everyth want whoever make right decis find best way creat bonus action win 116 differ card new setup game grand austria hotel provid huge replay valu game stand demand new tactic strategi
A Victory Lost: Crisis in Ukraine 1942-1943,2006,2,2,360,360,12,"['Wargame', 'World War II']","['Chit-Pull System', 'Dice Rolling', 'Grid Movement', 'Hexagon Grid', 'Movement Points', 'Ratio / Combat Results Table', 'Simulation', 'Zone of Control']",1088,7.6607,1827,2011,35,138,574,551,186,2.5645,victori lost crisi ukrain simul intens mobil fight axi soviet forc southwestern ussr complet soviet encircl decemb 1942 german field marshal von manstein famous backhand blow counterattack soviet forc aim trap elimin axi forc full retreat caucasus axi forc must success withdraw attempt restor front line launch desper counterattack slightest mistak might turn victori rout harsh cold wind blow across stepp russia flurri thunder explos russian offens oper saturn begin russian encircl trap extend german armi order await part intern game seri game multiman publish game scale game turn 10 day hex 8 mile 13 kilomet unit divis corp game inventori one 22 x 34 fullcolor mapsheet one dualsid print countersheet 280 12 counter one 16page victori lost rulebook one singlesid print player aid card one 6side die solitair suitabl medium complex level medium player 2 play time 35 hour
Advanced Squad Leader,1985,2,2,120,480,14,"['Wargame', 'World War II']","['Critical Hits and Failures', 'Dice Rolling', 'Grid Movement', 'Hexagon Grid', 'Interrupts', 'Line of Sight', 'Modular Board', 'Movement Points', 'Ratio / Combat Results Table', 'Scenario / Mission / Campaign Game', 'Secret Unit Deployment', 'Simulation', 'Variable Player Powers', 'Variable Set-up']",3782,8.00039,437,6284,125,127,919,1526,718,4.7368,advanc squad leader complet reorgan redesign version origin squad leader system threer binder basic rule entir system provid ultim combin playabl detail fullcolor chart beauti pictur make readabl rulebook includ fullservic index well quick refer asl squad system includ rule everyth machin gun bazooka tank ordnanc weapon paratroop drop glider land beach assault much set rule constant kept date expans includ modul asl goal scenariodefin vari task exit troop one edg board inflict certain number casualti point oppos forc captur certain number goal build area rulebook start play game newcom must get least beyond valor asl modul 1 great mani asl modul avail core modul provid addit rule unit differ nation addit geomorph mapboard histor modul provid campaign game simul multiday battl use actual histor map rather geomorph mapboard includ addit rule counter paper map mani modul depend earlier modul rulebook content introduct chapter b c h design german russian vehicl note j 1st edit chapter b c e h design german russian vehicl note j k 2nd edit index glossari 1st edit addit changeschapt chapter e yank asl modul 3 chapter f west alamein asl modul 5 chapter g code bushido asl modul 8 gung ho asl modul 9 chapter k paratroop asl modul 2 8 revis rulebook page 1718a 2930b 3132f 12 mark 92 croix de guerr asl modul 10 2nd edit addit chapter chapter f hollow legion asl modul 7a chapter g rise sun asl modul 13 note descript asl rulebook publish separ asl famili check game wiki
Arcadia Quest: Inferno,2017,2,4,60,120,13,"['Adventure', 'Fantasy', 'Fighting', 'Miniatures']","['Action Retrieval', 'Dice Rolling', 'Grid Movement', 'Modular Board', 'Scenario / Mission / Campaign Game', 'Square Grid', 'Variable Player Powers']",2304,7.90352,798,7263,202,104,645,601,25,2.44,inferno standalon expans arcadia quest 100 compat origin base game introduc four new guild shark tiger crow serpent featur new type hero alchemist gladiat new branch campaign system storylin revolv around guild descend fieri abyss brimston card make terrain riski navig oper similar tombston card arcadia quest beyond grave new mechan call damnat tempt hero power weapon corrupt charact time chang behavior nearbi monster also angel alli charact hero rescu escort assist work angel affect branch campaign path system even allow player recruit use later mission
Innovation,2010,2,4,45,60,12,"['Card Game', 'Civilization']","['Advantage Token', 'Hand Management', 'Layering', 'Melding and Splaying', 'Take That', 'Tech Trees / Tech Tracks', 'Variable Phase Order']",17859,7.29171,361,23083,634,522,3616,4192,945,2.7598,game carl chudyk journey innov stone age modern time player build civil base various technolog idea cultur advanc repres card card uniqu power allow advanc point score even attack civil care though civil may abl benefit idea well win must score achiev attain amass point meet certain criteria innov built plan civil well outmaneuv oppon luck achiev victori
Washington's War,2010,2,2,90,90,0,"['Age of Reason', 'American Revolutionary War', 'Wargame']","['Area Majority / Influence', 'Campaign / Battle Card Driven', 'Dice Rolling', 'Movement Points', 'Point to Point Movement', 'Simulation', 'Variable Player Powers']",2555,7.61219,865,4655,121,262,1094,900,263,2.8745,gmts websit washington ’ war long await redesign origin card driven game peopl washington war like predecessor pit forc world power england rebelli american colonist fight independ washington ’ war true redesign maintain deep strategi peopl creat game short play time approxim 90 minut unlik wargam washington war allow oppon play twice switch side one sit featur allow rapid tournament play either facetofac internet washington war perfect antidot time conscious crowd whose option eurogam washington ’ war featur dicedriven combat system quick resolv combat friend internet play game also featur new cdg discard mechan make everi card hand playabl allow oppon buy discard event oper card unusu card distribut creat challeng insurmount barrier advanc strategi biggest design chang peopl washington war besid aforement new game mechan increas emphasi asymmetr capabl two side british convent armi domin naval capabl give great strength coastal region american unconventi forc small contintent armi led georg washington yearn french intervent british struggl expand influenc inland american struggl keep militia forc field end side better abl play strength protect vulner prevail washington war washington ’ war broad test internet tournament format ensur clariti rule stress competit old new againb man white hors father new nation king tri save empir world war compon 2 doublethick counter sheet mount 22x34 map 110 event card 2 6side dice rule book play book 2 player aid card design mark herman develop joel toppen art director rodger b macgowan map card art mark simonitch counter art harold liesk bgg descript washington ’ war carddriven game american revolut pit forc king georg iii american colonist fight independ washington ’ war assum role either king great britain tri bring rebelli coloni back empir time deal global war ancient enemi bent reveng loss seven year war continent congress battl forc britain tri ralli countrymen caus liberti washington ’ war retread earlier design subject true redesign keep basic feel simplifi speed alreadi fast pace game washington ’ war featur dicedriven combat system quick resolv combat friend internet play game also featur new cdg discard mechan enabl player play discard event cost oper card unusu card distribut creat challeng insurmount barrier push strategi forward washington ’ war broad test internet give player voic sourc input prior public old new again… man white hors forg nation save empir
For the People,1998,2,2,360,360,12,"['American Civil War', 'Civil War', 'Post-Napoleonic', 'Wargame']","['Campaign / Battle Card Driven', 'Dice Rolling', 'Point to Point Movement', 'Simulation']",1659,7.77875,1182,4500,130,133,716,741,245,3.7224,gmt websit peopl grand strategi game american civil war cover conflict texa pennsylvania fire fort sumter end appomattox court hous take role either presid lincoln presid davi command armi promot reliev general conduct amphibi assault dispatch cavalri raid even battl incompet polit intrigu among member cabinet peopl includ deck strategi card conduct campaign incorpor mani event person war confeder player build ironclad naval mine torpedo submarin conduct oversea purchas work toward foreign intervent union player build naval blockad ironclad fleet fight draft riot secur border state issu emancip proclam reliv histori excit time nation torn asund time scale 4 month per turn map scale pointtopoint system unit scale 6000 men per strength point number player one two compon 420 fullcolor diecut counter one 22x34 fullcolor mount mapsheet 130 card 101 kb pdf 40page rule scenario book player aid card two 6side dice design mark herman develop mark simonitch map card art mark simonitch counter art mark simonitch rodger b macgowan bgg descript 4th entri peopl system game follow hannib successor predat path glori arguabl spinoff followon play area much larger say hannib lot forc general much complic polit controlstrateg system well quit signific element still clean streamlin complic wargam nontheless serious hobbi game previous entri genr note mark herman game reprint latest final version rule incorpor previous faq plus rewritten troublesom rule section river date gruel threeyear onlin tournament rule question note forthcom write mistaken state peopl base hannib v rome second game peopl genr creat game drop battl card system lieu tradit combat result tabl speed play increas histor accuraci updat 2006 edit compon descript recent releas use color rule play aid differ 2006 edit ad variant rule rulebook rulebook avail gmt game free download
Miyabi,2019,2,4,45,45,8,"['Abstract Strategy', 'Puzzle']","['Layering', 'Open Drafting', 'Pattern Building', 'Set Collection', 'Tile Placement']",1526,7.47087,1515,2523,47,204,1215,297,43,2.0698,eleg grace refin – ’ design japanes garden care plan watch eye need tend garden skill place stone bush tree pond pagoda multipl level player becom best garden design season think ’ got figur tri one five includ expans —descript publish
Otys,2017,2,4,60,60,14,['Science Fiction'],"['Action Queue', 'Contracts', 'Set Collection', 'Worker Placement']",2367,6.97151,1673,4431,204,73,667,507,85,2.8824,mid22nd centuri 300 year unconsci water rise engulf last emerg land fight live survivor ’ settlement must remain sea level live oti coloni must retriev past civil debri depth build futur human diver ’ team train bring use materi remain depth need use wise fulfil contract offer coloni thus obtain notorieti contend diver lay differ depth best match special abil bonus offer coloni bewar diver ’ oxygen limit soon accomplish mission must go surfac tri manag paramet team profit way coloni reward other oti optim develop game copublish pearl game libellud optim game order match depth diver special abil coloni bonus suppli best contract win futur built past oti player team diver must use take action retriev item complet object diver stack column player individu game board next depth gaug read 15 turn player choos avail depth gaug individu board carri action depth share game board take action diver depth afterward diver move surfac push diver queue depth gaug place bottom player board return player board chosen player gaug meter full initi player must play six gaug get back improv meter take fewer gaug fill therebi give choic action diver obtain item item kept appropri depth player board player need item togeth depth claim one share object reveal tabl one person object theyv taken player race score 18 point first order win game
XCOM: The Board Game,2015,1,4,60,120,14,"['Real-time', 'Science Fiction', 'Video Game Theme']","['Cooperative Game', 'Dice Rolling', 'Hand Management', 'Push Your Luck', 'Real-Time', 'Variable Player Powers']",8865,7.00402,854,13850,473,295,2481,1519,315,2.9143,game descript publish human last hope xcom board game three friend assum role leader elit intern organ known xcom job defend human quell rise panic turn back alien invas world militari fail stand alien invad must succeed must make strateg use resourc avail must launch interceptor shoot alien ufo assign soldier key mission research alien technolog use technolog defend base — tri keep world collaps long enough coordin one final mission repel invad good one notabl aspect xcom board game way incorpor free innov digit app core gameplay digit companion avail download app onlin tool app primari function coordin escal alien invas random select one five differ invas plan invas plan repres general outlin alien command use coordin arriv new ufo plan strike base respond success failur seek conquer earth app manag task heighten game tension forc respond realtim move quick coordin respons engag enemi untim resolut phase feed result app base upon result app launch invas next strike addit app teach rule control inform satellit provid track progress resist effort even allow enjoy game three level difficulti easi normal hard use app simpli streamlin play experi track turn realtim also permit uniqu dynam turn structur varieti game phase remain round round order friend must play may chang may number given phase result youll want know ufo appear deploy interceptor alien invad may abl disrupt satellit intel forc deploy interceptor patrol limit knowledg ufo current whereabout similar may forc think cost resolv world ’ crise know mani troop ’ need commit base defens effect app immers deep dramat tension core xcom board game ensur game present challeng cooper solo experi like like xcom depart head repres youll need keep cool head order prevail
Dead of Winter: A Crossroads Game,2014,2,5,60,120,13,"['Bluffing', 'Deduction', 'Horror', 'Zombies']","['Action Points', 'Area Movement', 'Dice Rolling', 'Hand Management', 'Narrative Choice / Paragraph', 'Push Your Luck', 'Semi-Cooperative Game', 'Storytelling', 'Trading', 'Traitor Game', 'Turn Order: Progressive', 'Variable Player Powers', 'Voting']",45129,7.48131,191,62608,1467,778,9284,6402,1623,3.0123,crossroad game seri plaid hat game test group survivor abil work togeth stay aliv face crise challeng outsid insid dead winter crossroad game first titl seri put 25 player small weaken coloni survivor world human either dead diseas fleshcrav monster player lead faction survivor dozen differ charact game dead winter metacoop psycholog surviv game mean player work togeth toward one common victori condit individu player achiev victori must also complet person secret object could relat psycholog tick that fair harmless other coloni danger obsess could put main object risk desir sabotag main mission worst vengeanc coloni game could end player win win lose player lose work toward group goal dont get walk loudmouth whos look interest dead winter experi accomplish medium tabletop game storycentr game surviv harsh winter apocalypt world survivor deal psycholog imper must still find way work togeth fight outsid threat resolv crise find food suppli keep coloni moral dead winter player make frequent difficult heavilythemat wildlyvari decis often decid what best coloni what best rulebook also includ fulli cooper variant player work toward group object person goal
Potion Explosion,2015,2,4,30,45,8,"['Fantasy', 'Puzzle']","['Pattern Recognition', 'Set Collection', 'Take That', 'Variable Set-up']",18425,7.12834,518,27012,290,476,3604,2713,322,1.7671,potion explos game 2 4 player horribl game design lorenzo silva andrea crespi stefano castelli dear student time final exam potion class rule alway take ingredi marbl dispens watch other fall connect marbl color explod take complet potion use marbl collect drink unleash magic power rememb though win student year award quick wont enough youll also need brew valuabl potion potion explos
Warfighter: The WWII Tactical Combat Card Game,2016,1,6,30,90,0,"['Card Game', 'Wargame', 'World War II']","['Action Points', 'Campaign / Battle Card Driven', 'Cooperative Game', 'Dice Rolling', 'Hand Management', 'Solo / Solitaire Game']",1061,7.87875,1839,2748,53,119,549,293,51,3.1373,warfight card game 1 6 player play cooper friend system complet world war ii squadlevel combat mission core game 4 expans provid card need play american british german post dday europ includ soldier weapon equip tactic use nation everyth need creat uniqu squad soldier start mission select one player soldier equip skill weapon combat gear within mission resourc limit fight way hostil territori engag enemi soldier attempt reach complet mission object everi mission standalon game build soldier select gear run mission within 30 60 minut succeed fail warfight use new combat system take account fire mode select weapon rang target run ammo suppress fire cover dice roll system creat incred deep narrat everi attack elimin soldier gain experi upgun action card play support card activ special skill 3 level soldier warfight player soldier nonplay soldier squad soldier
Shadows of Brimstone: Swamps of Death,2014,1,4,90,180,12,"['Adventure', 'American West', 'Exploration', 'Fantasy', 'Horror', 'Miniatures']","['Cooperative Game', 'Dice Rolling', 'Grid Movement', 'Modular Board', 'Role Playing', 'Variable Player Powers']",2411,8.04088,689,5621,99,240,1020,461,87,3.4023,shadow brimston swamp death fastpac fulli cooper dungeoncrawl board game set old west heavi dose unspeak horror player creat charact take role classic western hero archetyp law man gunsling saloon girl form adventur poss hero ventur dark mine overrun manner ancient demon foul creatur anoth world tactic gameplay lot dice robust carddriven explor system two game ever hero explor mine find new enemi fight new loot collect new danger overcom player even find portal world step continu adventur side excit campaign system allow player visit local frontier town adventur spend hardearn loot build charact game game player find fantast gear artifact equip hero also gain experi adventur experi use level guid hero path expans classspecif upgrad tree new skill abil allow player develop hero fit play style swamp death player encount portal otherworld jargono humid swampland inhabit sentient reptil vicious dinosaur tribe humanoid cut return homeworld untold year portal close load yer six shooter throw yer hat poncho gather poss dark come hell break loosein shadow brimston use togeth shadow brimston citi ancient rais maximum player 6
The Little Prince: Make Me a Planet,2013,2,5,25,25,8,"['Novel-based', 'Territory Building']","['Open Drafting', 'Set Collection']",3774,6.8983,1380,4883,87,83,560,694,177,1.5763,littl princ make planet player build planet provid beauti home dear anim littl princ – fox sheep eleph snake – make sure arent mani volcano baobab tree round start player choos one four stack tile take mani tile number player choos one appoint differ player choos anoth tile new player take tile start build planet front appoint anoth player everi player get tile last player must take tile remain make player becom start player next round baobab tree grow tile mani bad player three baobab tree planet three tile bear tree turn face item tile wont score point end game end game four charact locat around player planet earn player point base various item present planet everyth riskfre though player highest number volcano lose mani point number volcano planet player highest score win
Blood Bowl (2016 Edition),2016,2,2,60,180,12,"['Collectible Components', 'Fantasy', 'Fighting', 'Miniatures', 'Sports']","['Critical Hits and Failures', 'Dice Rolling', 'Grid Movement', 'Movement Points', 'Variable Player Powers']",2650,7.98019,631,5253,69,110,690,471,53,3.5472,descript publish blood bowl game fantasi footbal basic game featur match two team drawn number fantasi archetyp play warp version american footbal blood bowl box game contain two team human allround team flexibl enough adapt style play orc make brute forc lack finess team repres colour plastic miniatur pushfit assembl requir use game expand addit rule team made avail expans set supplement action game resolv use dice regular sixsid dice use make test number case player attempt pick ball pass catch dodg past enemi player custom dice use one player wish block anoth use graphic repres differ violent potenti outcom rule edit blood bowl almost ident found competit rule pack culmin sever year develop blood bowl live rulebook result incred wellhon game see regular competit play around world fact team take turn move block advanc footbal field game come plastic miniatur game part blood bowl seri
Valeria: Card Kingdoms,2016,1,5,30,45,13,"['Card Game', 'Dice', 'Fantasy']","['Dice Rolling', 'Open Drafting', 'Random Production', 'Variable Set-up']",5524,7.45344,564,9127,168,244,1523,1142,134,1.9776,land valeria sieg hord monster fellow duke must recruit citizen buy domain build kingdom slay foul creatur lurk surround land valeria card kingdom tableaubuild game 15 player feel familiar deckbuild fan card buy work turn player turn well turn roll two dice activ citizen card result individu die sum dice player simultan activ citizen card base roll next take two action follow slay monster recruit citizen buy domain take 1 resourc player victori point end win game
Dice Throne: Season One,2018,2,6,20,40,8,"['Card Game', 'Dice', 'Fantasy', 'Fighting']","['Dice Rolling', 'Re-rolling and Locking', 'Take That', 'Team-Based Game', 'Variable Player Powers']",5579,7.52937,602,7869,178,204,1766,1076,88,2.0795,dice throne game intrigu dice tactic card play power hero uniqu abil fastpac 26 player combat game 1v1 2v2 3v3 2v2v2 freeforal select varieti hero play feel complet distinct one anoth attack oppon activ abil roll hero uniqu set five dice accumul combat point spend card larg rang effect grant perman hero upgrad appli status effect manipul dice direct teammat even oppon let take look turn 1v1 game game begin 2 player select hero player one choos moon elf player two pick barbarian player begin game 50 hp health point player one moon elf roll go first moon elf draw 4 start game card begin game 1 cp combat point note player win start roll draw card start hand 4 gain cp 1 start cp moon elf check status effect like poison burn resolv next phase call main phase 1 moon elf player upgrad hero board card hand enough cp pay upgrad also play main phase action card blue card enter offens roll phase moon elf take 3 roll attempt 5 dice accomplish action attack hero board decid action within 3 roll attempt action declar defens roll phase begin oppon barbarian use defens roll appear hero board amount damag incom status affect resolv conclud defens roll phase offens defens roll phase player play roll phase action card hand long cp pay moon elf player enter second main phase final hero board upgrad play blue main phase action card moon elf must discard extra card 6 hand barbarian player begin turn draw one addit card start hand 4 gain one cp combat point total 2 barbarian follow phase moon elf game altern hero turn one player 0 health dicethron 26 player age 8 run 2030 minut battl ever expand galleri hero game feel fresh time jump
Mission: Red Planet,2005,3,5,60,60,10,"['Science Fiction', 'Space Exploration']","['Action Retrieval', 'Area Majority / Influence', 'Area Movement', 'End Game Bonuses', 'Hand Management', 'Simultaneous Action Selection', 'Take That', 'Turn Order: Role Order']",4229,6.88561,1293,3697,178,237,999,1305,365,2.3178,year 1888 steampunk technolog advanc prodigi rate probe sent mar soon astronaut man rocket order mine planet newli discov resourc first brand new element celerium could prove combust energi sourc like man never seen second sylvanit incred dens materi unlik anyth found earth addit resourc glacier discov planet whoever control ici mass could work creat livabl atmospher mar mission red planet player work mine compani compet send astronaut mar order colon mine recent discov materi cours 10 round player play one special agent everi round help fill rocket head mar astronaut simultan work prevent oppon land astronaut must gather control specif region planet yield one three resourc celerium sylvanit ice round 5 8 player gain score token everi region control major astronaut end game player score one final time ad bonus receiv discoveri card bonus card player score token end control mar rich bring bruno faidutti websit one design bruno cathala start theme want make game colon mar shuttl leav blue planet toward red one theme strong well caught steampunk graphic style decid asmodã© mission red planet player play coloni power send astronaut space shuttl occupi promis zone planet scholar system merg major game à la el grand san marco characteract card system somewher citadel hoiti toityadel verpflichtet noth realli new much work realli proud result
Guards of Atlantis II,2022,4,10,90,120,14,"['Fantasy', 'Miniatures', 'Video Game Theme', 'Wargame']","['Campaign / Battle Card Driven', 'Grid Movement', 'Hand Management', 'Simultaneous Action Selection', 'Team-Based Game', 'Variable Player Powers']",776,8.53858,1732,1022,6,190,895,329,30,3.3,guard atlanti tabletop moba competit zeroluck teambas board game inspir comput game moba genr game player control singl hero use hand card move hero around game board employ special abil attack enemi defeat enemi minion earn coin use buy level upgrad hero goal help minion — unit direct control player — reach enemi base captur guard atlanti ii complet overhaul origin game 22 new hero new doublesid game board much addit new content guard atlanti ii streamlin rule origin make faster tighter —descript publish
Lord of the Rings: The Confrontation,2002,2,2,30,30,12,"['Adventure', 'Bluffing', 'Deduction', 'Fantasy', 'Movies / TV / Radio theme', 'Novel-based']","['Area Movement', 'Card Play Conflict Resolution', 'Hand Management', 'Memory', 'Secret Unit Deployment', 'Simultaneous Action Selection', 'Variable Player Powers']",6901,7.20704,665,8326,276,238,963,2233,666,2.1892,asymmetr strategolik game theme around lord ring player control forc 9 uniqu charact light vs dark whose ident hidden oppon begin game player also start hand 9 uniqu card use resolv combat charact move across board victori condit player also asymmetr fellowship player win move frodo mordor thus destroy one ring evil player win either kill frodo move 3 evil charact shire lord ring confront also object extend edit see lord ring confront compris origin charact full set new charact
Outfoxed!,2014,2,4,20,20,5,"[""Children's Game"", 'Dice']","['Cooperative Game', 'Deduction', 'Dice Rolling', 'Die Icon Resolution', 'Grid Movement', 'Memory', 'Square Grid']",4026,7.16016,1051,8383,95,130,1000,1054,114,1.1228,game descript publish mrs plumpert prize pot pie gone miss chicken chase crack case outfox move around board gather clue use special evid scanner rule suspect work togeth quick guilti fox hightail toward exit halt hungri hooligan fli coop — outfox
MicroMacro: Crime City,2020,1,4,15,45,12,"['Deduction', 'Murder/Mystery']","['Cooperative Game', 'Deduction', 'Scenario / Mission / Campaign Game', 'Solo / Solitaire Game']",13899,7.54226,230,27328,350,423,3587,1818,301,1.1063,crime taken place citi want figur exact what happen youll need look close giant citi map 75 x 110 cm 295 x 43 inch find hidden inform trace trail foe micromacro crime citi includ 16 case solv case includ number card ask find someth map uncov someon gone otherwis reveal inform relev case citi map serv map time well space youll typic find peopl multipl locat throughout street build need piec togeth happen whether go case card card read start card case tri figur everyth happen abl answer question case without fail
